order_id,customer_id,timestamp,split,return_rate_90d,category_return_rate,is_cod,order_value,discount_pct,delivery_distance_km,previous_returns,customer_age_days,previous_orders,product_rating,orders_last_30d,region_code,browser_family,device_age_days,session_hour,returned
4467,1365,2026-01-01 00:17:42,train,0.18,0.16666666666666666,False,5517.85,0.1232,72.5,0,88,0,3.8,0,north,edge,152,20,1
7312,1032,2026-01-01 00:38:04,train,0.18,0.16666666666666666,False,1695.18,0.0575,280.4,0,372,0,4.49,0,central,firefox,461,7,0
748,397,2026-01-01 00:43:42,train,0.18,0.16666666666666666,False,2903.76,0.0471,460.8,0,467,0,3.22,0,east,chrome,139,0,0
1459,54,2026-01-01 01:09:13,train,0.18,0.16666666666666666,False,1345.88,0.1349,209.2,0,154,0,3.11,0,west,in_app_webview,137,20,0
6293,961,2026-01-01 03:13:54,train,0.18,0.21052631578947367,True,973.1,0.0878,197.9,0,386,0,4.49,0,south,edge,1238,5,1
4163,823,2026-01-01 03:46:52,train,0.18,0.15789473684210525,False,3817.01,0.2069,128.2,0,399,0,3.13,0,south,in_app_webview,150,4,1
2249,978,2026-01-01 04:01:30,train,0.18,0.2,False,5497.82,0.1753,398.2,0,75,0,4.49,0,north,chrome,1090,0,1
3476,664,2026-01-01 04:01:53,train,0.18,0.25,True,3370.73,0.0712,325.1,0,350,0,4.49,0,central,firefox,1029,16,0
3967,1283,2026-01-01 06:39:10,train,0.18,0.16666666666666666,False,611.66,0.0501,638.7,0,208,0,4.14,0,west,in_app_webview,1004,1,0
2669,11,2026-01-01 07:40:58,train,0.18,0.15789473684210525,False,508.46,0.2203,140.3,0,109,0,4.27,0,south,edge,389,20,0
4471,1031,2026-01-01 08:48:34,train,0.18,0.16666666666666666,False,40374.42,0.1556,601.1,0,138,0,4.07,0,central,edge,938,6,0
34,1383,2026-01-01 09:09:44,train,0.18,0.16666666666666666,True,2549.22,0.1112,145.8,0,243,0,3.84,0,east,edge,399,18,0
10000,91,2026-01-01 10:00:55,train,0.18,0.23809523809523808,True,1498.19,0.0187,224.6,0,177,0,3.13,0,west,in_app_webview,448,0,0
7882,877,2026-01-01 11:35:54,train,0.18,0.15,True,2077.5,0.3163,69.8,0,99,0,3.95,0,central,in_app_webview,804,14,0
4193,655,2026-01-01 12:29:05,train,0.18,0.16666666666666666,True,777.88,0.1901,366.0,0,90,0,4.16,0,west,in_app_webview,41,17,0
1323,585,2026-01-01 13:21:09,train,0.18,0.15789473684210525,False,935.18,0.0922,374.5,0,200,0,4.45,0,north,safari,1365,13,0
2514,148,2026-01-01 14:21:19,train,0.18,0.22727272727272727,True,3719.73,0.2164,313.8,0,327,0,3.93,0,west,firefox,212,11,0
