order_id,customer_id,region_code,product_id,category,product_rating,timestamp,order_value,discount_pct,is_cod,quantity,delivery_distance_km,device_age_days,session_hour,browser_family,signup_date,customer_age_days,previous_orders,previous_returns,return_rate_90d,orders_last_30d,category_return_rate,_latent_propensity,returned,split
4467,1365,north,10,fashion_apparel,3.8,2026-01-01 00:17:42,5517.85,0.1232,False,3,72.5,152,20,edge,2025-10-05,88,0,0,0.18,0,0.16666666666666666,0.3374320398874604,1,train
7312,1032,central,109,sports_fitness,4.49,2026-01-01 00:38:04,1695.18,0.0575,False,1,280.4,461,7,firefox,2024-12-25,372,0,0,0.18,0,0.16666666666666666,0.04505895029631971,0,train
748,397,east,46,home_kitchen,3.22,2026-01-01 00:43:42,2903.76,0.0471,False,2,460.8,139,0,chrome,2024-09-21,467,0,0,0.18,0,0.16666666666666666,0.10315967190818781,0,train
1459,54,west,44,electronics_accessories,3.11,2026-01-01 01:09:13,1345.88,0.1349,False,2,209.2,137,20,in_app_webview,2025-07-31,154,0,0,0.18,0,0.16666666666666666,0.11124384119724276,0,train
6293,961,south,3,fashion_apparel,4.49,2026-01-01 03:13:54,973.1,0.0878,True,1,197.9,1238,5,edge,2024-12-11,386,0,0,0.18,0,0.21052631578947367,0.20034635765027092,1,train
4163,823,south,120,sports_fitness,3.13,2026-01-01 03:46:52,3817.01,0.2069,False,3,128.2,150,4,in_app_webview,2024-11-28,399,0,0,0.18,0,0.15789473684210525,0.17817141249797858,1,train
2249,978,north,109,sports_fitness,4.49,2026-01-01 04:01:30,5497.82,0.1753,False,3,398.2,1090,0,chrome,2025-10-18,75,0,0,0.18,0,0.2,0.2800202146528973,1,train
3476,664,central,3,fashion_apparel,4.49,2026-01-01 04:01:53,3370.73,0.0712,True,3,325.1,1029,16,firefox,2025-01-16,350,0,0,0.18,0,0.25,0.20958975601406138,0,train
3967,1283,west,105,books_stationery,4.14,2026-01-01 06:39:10,611.66,0.0501,False,2,638.7,1004,1,in_app_webview,2025-06-07,208,0,0,0.18,0,0.16666666666666666,0.0961482909342215,0,train
2669,11,south,97,books_stationery,4.27,2026-01-01 07:40:58,508.46,0.2203,False,2,140.3,389,20,edge,2025-09-14,109,0,0,0.18,0,0.15789473684210525,0.033008390331073376,0,train
4471,1031,central,87,mobile_electronics,4.07,2026-01-01 08:48:34,40374.42,0.1556,False,3,601.1,938,6,edge,2025-08-16,138,0,0,0.18,0,0.16666666666666666,0.16906287808308829,0,train
34,1383,east,30,footwear,3.84,2026-01-01 09:09:44,2549.22,0.1112,True,2,145.8,399,18,edge,2025-05-03,243,0,0,0.18,0,0.16666666666666666,0.16245033988448332,0,train
10000,91,west,120,sports_fitness,3.13,2026-01-01 10:00:55,1498.19,0.0187,True,1,224.6,448,0,in_app_webview,2025-07-08,177,0,0,0.18,0,0.23809523809523808,0.1225018806688339,0,train
7882,877,central,102,books_stationery,3.95,2026-01-01 11:35:54,2077.5,0.3163,True,3,69.8,804,14,in_app_webview,2025-09-24,99,0,0,0.18,0,0.15,0.2616315306218172,0,train
4193,655,west,69,beauty_personal_care,4.16,2026-01-01 12:29:05,777.88,0.1901,True,1,366.0,41,17,in_app_webview,2025-10-03,90,0,0,0.18,0,0.16666666666666666,0.046240382295627644,0,train
1323,585,north,27,footwear,4.45,2026-01-01 13:21:09,935.18,0.0922,False,1,374.5,1365,13,safari,2025-06-15,200,0,0,0.18,0,0.15789473684210525,0.10726189945680424,0,train
2514,148,west,115,sports_fitness,3.93,2026-01-01 14:21:19,3719.73,0.2164,True,2,313.8,212,11,firefox,2025-02-08,327,0,0,0.18,0,0.22727272727272727,0.33853579947899676,0,train
5816,1267,south,102,books_stationery,3.95,2026-01-01 15:02:24,2045.1,0.093,False,3,359.5,689,10,safari,2024-09-28,460,0,0,0.18,0,0.14285714285714285,0.02617579930521947,0,train
1051,122,north,44,electronics_accessories,3.11,2026-01-01 15:20:01,1994.6,0.0543,False,3,283.5,232,1,safari,2025-12-28,4,0,0,0.18,0,0.15789473684210525,0.24043701209363927,1,train
5040,425,south,85,mobile_electronics,4.19,2026-01-01 16:17:32,20101.4,0.0282,False,1,134.2,403,6,edge,2025-06-24,191,0,0,0.18,0,0.15789473684210525,0.44022178707682114,0,train
3849,502,north,60,home_kitchen,2.89,2026-01-01 16:30:15,5993.87,0.0314,False,3,95.2,1123,19,firefox,2025-12-16,16,0,0,0.18,0,0.15789473684210525,0.22514773092908877,0,train
4029,424,east,59,home_kitchen,4.01,2026-01-01 16:30:44,2140.92,0.0916,False,1,91.4,360,7,firefox,2025-10-24,69,0,0,0.18,0,0.15,0.08294860714289587,0,train
4274,628,west,59,home_kitchen,4.01,2026-01-01 17:56:54,1800.04,0.2938,False,1,168.5,208,15,edge,2025-05-19,227,0,0,0.18,0,0.14285714285714285,0.09470446226596567,0,train
131,78,west,82,mobile_electronics,4.38,2026-01-01 19:36:31,18434.08,0.1941,False,1,351.7,685,5,edge,2025-02-03,332,0,0,0.18,0,0.15,0.15914122513660106,0,train
7907,263,north,60,home_kitchen,2.89,2026-01-01 20:41:08,4104.19,0.234,False,3,328.3,1431,23,chrome,2025-03-29,278,0,0,0.18,0,0.13636363636363635,0.14138539002043143,0,train
5524,196,west,70,beauty_personal_care,4.79,2026-01-01 21:17:26,1009.81,0.1621,True,3,83.9,959,21,firefox,2024-10-23,435,0,0,0.18,0,0.15789473684210525,0.10162242241151088,0,train
1539,1309,west,38,electronics_accessories,5.0,2026-01-01 21:41:30,940.69,0.2031,False,2,75.0,1116,1,safari,2025-06-23,192,0,0,0.18,0,0.2,0.1064041170176198,1,train
3590,889,central,114,sports_fitness,3.73,2026-01-01 22:49:54,3652.61,0.05,False,2,467.5,1188,18,edge,2024-08-30,489,0,0,0.18,0,0.21739130434782608,0.13585477889889977,0,train
1948,755,south,65,beauty_personal_care,3.51,2026-01-01 23:13:54,938.68,0.1505,False,2,279.6,963,20,chrome,2025-10-05,88,0,0,0.18,0,0.15,0.11745371322959146,0,train
8225,935,east,27,footwear,4.45,2026-01-01 23:25:32,1889.25,0.1861,False,2,254.1,1211,16,safari,2025-07-13,172,0,0,0.18,0,0.15,0.0847229254810641,0,train
6613,960,north,5,fashion_apparel,3.29,2026-01-01 23:41:09,486.67,0.1997,False,1,100.3,869,1,chrome,2025-06-20,195,0,0,0.18,0,0.23809523809523808,0.040014647827210266,0,train
8785,1257,central,28,footwear,3.16,2026-01-02 00:17:12,4068.19,0.2147,False,2,539.7,191,21,chrome,2025-01-30,337,0,0,0.18,0,0.14285714285714285,0.2769878732119265,1,train
