iter	Passed	Remaining
0	111	55476
1	197	49245
2	256	42553
3	353	43858
4	440	43589
5	540	44524
6	635	44733
7	719	44274
8	827	45165
9	917	44964
10	1087	48344
11	1226	49863
12	1345	50394
13	1455	50514
14	1589	51390
15	1693	51229
16	1801	51189
17	1889	50603
18	2003	50707
19	2104	50519
20	2138	48772
21	2227	48392
22	2328	48283
23	2369	46998
24	2450	46566
25	2563	46740
26	2649	46412
27	2753	46418
28	2844	46202
29	2976	46625
30	3024	45752
31	3130	45778
32	3221	45594
33	3303	45279
34	3394	45094
35	3451	44486
36	3539	44291
37	3631	44145
38	3714	43908
39	3800	43704
40	3921	43903
41	4017	43805
42	4099	43565
43	4186	43382
44	4228	42751
45	4317	42611
46	4419	42597
47	4510	42470
48	4567	42035
49	4653	41881
50	4758	41895
51	4844	41740
52	4877	41135
53	4979	41128
54	5069	41019
55	5154	40867
56	5242	40742
57	5355	40813
58	5440	40666
59	5557	40755
60	5644	40621
61	5743	40578
62	5810	40305
63	5871	40002
64	5935	39721
65	6005	39489
66	6078	39281
67	6154	39099
68	6248	39032
69	6320	38825
70	6392	38625
71	6475	38491
72	6568	38420
73	6644	38249
74	6746	38229
75	6803	37957
76	6901	37912
77	6991	37824
78	7089	37778
79	7124	37402
80	7199	37243
81	7299	37210
82	7403	37196
83	7549	37388
84	7644	37325
85	7736	37242
86	7817	37109
87	7880	36896
88	7968	36799
89	8054	36691
90	8142	36598
91	8254	36604
92	8335	36478
93	8374	36172
94	8417	35884
95	8488	35723
96	8547	35510
97	8625	35382
98	8759	35479
99	8843	35374
100	8932	35287
101	9027	35225
102	9164	35322
103	9260	35261
104	9376	35275
105	9462	35172
106	9548	35071
107	9639	34986
108	9764	35027
109	9880	35031
110	9995	35028
111	10093	34966
112	10172	34838
113	10269	34771
114	10286	34436
115	10375	34347
116	10455	34224
117	10544	34134
118	10627	34024
119	10706	33903
120	10768	33729
121	10840	33586
122	10915	33456
123	10991	33330
124	11073	33220
125	11158	33122
126	11239	33009
127	11316	32887
128	11409	32813
129	11481	32678
130	11554	32546
131	11571	32258
132	11649	32144
133	11757	32114
134	11837	32004
